Time (ms),Membrane Potential (mV),Intracellular Ca2+ (mM),ATP,I_Kir61 (pA),I_TRPC1 (pA),I_CaCC (pA),I_CaL (pA),I_leak (pA),d_inf,f_inf
134.2134213421342,-85.57076502113705,2.905549327126389,4.4,0.37058285547041897,-0.02178434219556526,-0.33977719344781404,-5.937233457736137e-07,0.016195194445028222,2.7312591554108885e-05,0.997876432212529
134.3134313431343,-85.57342784576359,2.9041500245720226,4.4,0.37050051525061106,-0.021784608478027913,-0.3397958332099488,-5.93477759876932e-07,0.01618986879577514,2.730093912773752e-05,0.9978772076366299
134.4134413441344,-85.5760792782217,2.9027573126284825,4.4,0.37041849241876373,-0.021784873621273723,-0.33981439322693757,-5.932333253432385e-07,0.016184565930858923,2.7289341492401704e-05,0.9978779794903375
134.5134513451345,-85.57871936991036,2.9013711514074627,4.4,0.3703367858405763,-0.021785137630442594,-0.33983287385857325,-5.929900361010211e-07,0.0161792857474816,2.727779835780946e-05,0.9978787477919395
134.6134613461346,-85.5813481722286,2.8999915010206605,4.4,0.37025539437693944,-0.021785400510674412,-0.3398512754646487,-5.927478860931127e-07,0.016174028142845118,2.7266309434374502e-05,0.9978795125596877
134.7134713471347,-85.5839657365754,2.8986183215797703,4.4,0.3701743168839701,-0.021785662267109093,-0.33986959840495684,-5.925068692766011e-07,0.01616879301415153,2.7254874433211746e-05,0.9978802738117986
134.81348134813481,-85.58657211434974,2.8972515731964883,4.4,0.3700935522130416,-0.02178592290488653,-0.3398878430392904,-5.922669796227163e-07,0.016163580258602848,2.724349306613176e-05,0.9978810315664542
134.91349134913492,-85.58916735695063,2.8958912159825108,4.4,0.3700130992108163,-0.02178618242914662,-0.33990600972744234,-5.920282111167321e-07,0.01615838977340107,2.723216504563592e-05,0.997881785841802
135.01350135013502,-85.59175151577709,2.894537210049532,4.4,0.36993295671927695,-0.021786440845029263,-0.33992409882920566,-5.917905577578647e-07,0.01615322145574814,2.722089008491137e-05,0.9978825366559544
135.11351135113512,-85.59432464222807,2.8931895155092495,4.4,0.3698531235757615,-0.021786698157674363,-0.3399421107043729,-5.915540135591785e-07,0.01614807520284617,2.7209667897826373e-05,0.99788328402699
135.21352135213522,-85.59688678770262,2.8918480924733574,4.4,0.3697735986129894,-0.021786954372221817,-0.3399600457127372,-5.913185725474758e-07,0.01614295091189709,2.7198498198924883e-05,0.9978840279729536
135.31353135313532,-85.5994380035997,2.890512901053552,4.4,0.3696943806590973,-0.021787209493811525,-0.33997790421409135,-5.910842287632045e-07,0.01613784848010292,2.718738070342196e-05,0.9978847685118557
135.41354135413542,-85.60197834131829,2.8891839013615286,4.4,0.3696154685376701,-0.021787463527583387,-0.33999568656822793,-5.908509762603637e-07,0.016132767804665746,2.7176315127199087e-05,0.9978855056616741
135.51355135513552,-85.60450785225743,2.887861053508984,4.4,0.36953686106776695,-0.021787716478677298,-0.34001339313494017,-5.906188091063895e-07,0.016127708782787464,2.7165301186798634e-05,0.9978862394403523
135.61356135613562,-85.60702658781608,2.886544317607613,4.4,0.3694585570639595,-0.021787968352233164,-0.34003102427402065,-5.903877213820804e-07,0.01612267131167016,2.7154338599419998e-05,0.9978869698658022
135.71357135713572,-85.60953459939326,2.8852336537691112,4.4,0.3693805553363571,-0.021788219153390877,-0.3400485803452623,-5.901577071814813e-07,0.016117655288515807,2.7143427082914055e-05,0.9978876969559016
135.8135813581358,-85.61203193838797,2.8839290221051757,4.4,0.36930285469063884,-0.02178846888729035,-0.3400660617084582,-5.89928760611799e-07,0.016112660610526377,2.7132566355778848e-05,0.9978884207284965
135.9135913591359,-85.61451865619918,2.8826303827274997,4.4,0.3692254539280861,-0.021788717559071472,-0.34008346872340084,-5.897008757933056e-07,0.01610768717490396,2.712175613715489e-05,0.9978891412014002
136.013601360136,-85.61699480422591,2.8813376957477814,4.4,0.36914835184560857,-0.021788965173874148,-0.34010080174988316,-5.89474046859238e-07,0.0161027348788505,2.7110996146820176e-05,0.9978898583923942
136.1136113611361,-85.61946043386713,2.880050921277715,4.4,0.3690715472357785,-0.02178921173683827,-0.340118061147698,-5.892482679557096e-07,0.016097803619568054,2.710028610518585e-05,0.9978905723192277
136.2136213621362,-85.62191559652187,2.8787700194289965,4.4,0.3689950388868564,-0.02178945725310374,-0.34013524727663835,-5.890235332416132e-07,0.016092893294258573,2.708962573329135e-05,0.9978912829996189
136.3136313631363,-85.62436034358909,2.877494950313322,4.4,0.36891882558282535,-0.021789701727810463,-0.3401523604964967,-5.887998368885327e-07,0.01608800380012414,2.7079014752800116e-05,0.997891990451254
136.4136413641364,-85.62679472646782,2.8762256740423866,4.4,0.36884290610341514,-0.021789945166098335,-0.3401694011670663,-5.885771730806435e-07,0.016083135034366678,2.7068452885994625e-05,0.9978926946917882
136.5136513651365,-85.62921879655704,2.8749621507278866,4.4,0.3687672792241367,-0.02179018757310726,-0.34018636964813975,-5.883555360146292e-07,0.016078286894188238,2.70579398557723e-05,0.9978933957388461
136.6136613661366,-85.63163260525575,2.8737043404815177,4.4,0.3686919437163081,-0.02179042895397713,-0.34020326629950987,-5.881349198995853e-07,0.016073459276790828,2.7047475385640748e-05,0.9978940936100207
136.7136713671367,-85.63403620396295,2.872452203414975,4.4,0.3686168983470839,-0.02179066931384785,-0.34022009148096966,-5.879153189569291e-07,0.01606865207937642,2.7037059199713334e-05,0.997894788322875
136.8136813681368,-85.6364296440776,2.871205699639955,4.4,0.36854214187948675,-0.021790908657859313,-0.3402368455523115,-5.876967274203164e-07,0.01606386519914713,2.7026691022705005e-05,0.997895479894942
136.9136913691369,-85.63881297699875,2.8699647892681526,4.4,0.36846767307242984,-0.021791146991151433,-0.34025352887332877,-5.874791395355332e-07,0.01605909853330482,2.7016370579927063e-05,0.9978961683437235
137.013701370137,-85.64118625412537,2.8687294324112638,4.4,0.36839349068075267,-0.021791384318864092,-0.34027014180381404,-5.872625495604352e-07,0.016054351979051574,2.7006097597284013e-05,0.9978968536866931
137.1137113711371,-85.64354952685646,2.8674995891809845,4.4,0.36831959345524484,-0.0217916206461372,-0.3402866847035601,-5.870469517648374e-07,0.0160496254335894,2.699587180126828e-05,0.997897535941293
137.2137213721372,-85.645902846591,2.8662752196890104,4.4,0.36824598014267573,-0.021791855978110654,-0.3403031579323597,-5.868323404304369e-07,0.01604491879412032,2.6985692918956276e-05,0.9978982151249369
137.3137313731373,-85.64824626472802,2.8650562840470366,4.4,0.3681726494858209,-0.021792090319924358,-0.3403195618500059,-5.866187098507176e-07,0.016040231957846287,2.6975560678003786e-05,0.997898891255009
137.4137413741374,-85.65057983266648,2.8638427423667596,4.4,0.3680996002234926,-0.0217923236767182,-0.3403358968162913,-5.864060543308765e-07,0.01603556482196936,2.696547480664226e-05,0.9978995643488643
137.5137513751375,-85.65290360180539,2.862634554759875,4.4,0.36802683109056533,-0.021792556053632093,-0.3403521631910087,-5.861943681877267e-07,0.016030917283691538,2.695543503367407e-05,0.9979002344238295
137.6137613761376,-85.65521762354376,2.861431681338078,4.4,0.36795434081800327,-0.021792787455805932,-0.34036836133395115,-5.859836457496164e-07,0.016026289240214795,2.6945441088468492e-05,0.9979009014972018
137.7137713771377,-85.65752194928058,2.8602340822130645,4.4,0.36788212813288934,-0.021793017888379614,-0.34038449160491124,-5.857738813563445e-07,0.016021680588741163,2.6935492700957567e-05,0.9979015655862508
137.8137813781378,-85.65981663041484,2.85904171749653,4.4,0.3678101917584507,-0.021793247356493038,-0.34040055436368183,-5.855650693590765e-07,0.016017091226472643,2.6925589601631912e-05,0.9979022267082174
137.9137913791379,-85.66210171834554,2.857854547300171,4.4,0.3677385304140862,-0.02179347586528611,-0.3404165499700558,-5.853572041202595e-07,0.016012521050611243,2.691573152153656e-05,0.9979028848803144
138.013801380138,-85.66437726447167,2.8566725317356827,4.4,0.3676671428153941,-0.02179370341989872,-0.3404324787838259,-5.85150280013542e-07,0.016007969958358986,2.6905918192267e-05,0.9979035401197274
138.1138113811381,-85.66664332019224,2.8554956309147617,4.4,0.36759602767419663,-0.021793930025470778,-0.3404483411647849,-5.849442914236871e-07,0.016003437846917847,2.689614934596486e-05,0.9979041924436138
138.2138213821382,-85.66889993690621,2.8543238049491015,4.4,0.36752518369856946,-0.02179415568714218,-0.3404641374727255,-5.847392327464981e-07,0.015998924613489892,2.6886424715314282e-05,0.9979048418691034
