Time (ms),Membrane Potential (mV),Intracellular Ca2+ (mM),ATP
504.050405040504,-27.73559586480386,17644403.091136638,0.09090905844621472
504.1504150415041,-27.73559586533021,17644522.881222215,0.09090905832618815
504.2504250425042,-27.73559586582958,17644642.552666396,0.09090905820706262
504.3504350435043,-27.73559586630185,17644762.105582334,0.09090905808884404
504.4504450445044,-27.735595866746895,17644881.54008295,0.09090905797153825
504.5504550455045,-27.7355958671646,17645000.85628094,0.0909090578551512
504.6504650465046,-27.735595867554853,17645120.05428876,0.09090905773968883
504.7504750475047,-27.735595867917525,17645239.13421862,0.09090905762515698
504.8504850485048,-27.735595868252492,17645358.096182507,0.09090905751156167
504.9504950495049,-27.735595868559653,17645476.940292187,0.09090905739890878
505.050505050505,-27.73559586883887,17645595.66665917,0.09090905728720428
505.1505150515051,-27.73559586909004,17645714.275394745,0.09090905717645412
505.2505250525052,-27.735595869313027,17645832.766609974,0.0909090570666643
505.3505350535053,-27.73559586950772,17645951.140415672,0.0909090569578408
505.4505450545054,-27.735595869674,17646069.396922417,0.09090905684998955
505.5505550555055,-27.735595869811743,17646187.536240578,0.0909090567431166
505.6505650565056,-27.73559586992082,17646305.558480263,0.09090905663722795
505.7505750575057,-27.735595870001127,17646423.46375136,0.09090905653232959
505.8505850585058,-27.73559587005253,17646541.252163522,0.09090905642842757
505.95059505950593,-27.735595870074917,17646658.923826177,0.09090905632552793
506.05060506050603,-27.73559587006816,17646776.478848495,0.0909090562236367
506.15061506150613,-27.73559587003214,17646893.91733944,0.0909090561227599
506.25062506250623,-27.73559586996674,17647011.239407726,0.09090905602290364
506.35063506350633,-27.735595869871826,17647128.445161838,0.09090905592407396
506.45064506450643,-27.735595869747286,17647245.53471003,0.09090905582627698
506.55065506550653,-27.735595869593,17647362.50816031,0.09090905572951873
506.65066506650663,-27.735595869408836,17647479.365620483,0.09090905563380534
506.75067506750673,-27.735595869194682,17647596.107198082,0.09090905553914294
506.85068506850683,-27.735595868950412,17647712.733000435,0.0909090554455376
506.95069506950693,-27.735595868675897,17647829.243134614,0.09090905535299548
507.05070507050704,-27.73559586837102,17647945.637707487,0.09090905526152271
507.15071507150714,-27.735595868035666,17648061.91682566,0.09090905517112541
507.25072507250724,-27.7355958676697,17648178.08059552,0.09090905508180977
